desc::ip_xmin,desc::ip_xmax,desc::ip_duration,duration,ip_label,speaker,discourse_function,desc::HGS1_transcrkr,desc::HYJ1_transcrkr,desc::SUK1_transcrkr
1.48895909,2.873846896,1.384887807,long,hgs,hgs,directive,그 눈좋은 소리 허지 말라!,NA,NA
3.035100956,4.67704256,1.641941604,long,hyj,hyj,statement,NA,"이 요디 트더먹구야, 얼굴에 요 이 이멩이에 두밧디  물언 요거, 죽인거, 오늘.",NA
4.67704256,5.962332271,1.285289711,mid,hyj,hyj,statement,NA,"이 요디 트더먹구야, 얼굴에 요 이 이멩이에 두밧디  물언 요거, 죽인거, 오늘.",NA
6.147300163,6.759117037,0.611816873,short,hyj,hyj,statement,NA,"이 요디 트더먹구야, 얼굴에 요 이 이멩이에 두밧디  물언 요거, 죽인거, 오늘.",NA
6.896657264,7.53218797,0.635530706,short,hyj,hyj,statement,NA,"이 요디 트더먹구야, 얼굴에 요 이 이멩이에 두밧디  물언 요거, 죽인거, 오늘.",NA
8.996114977,9.949411035,0.953296059,mid,overlap,suk,repeat_q,아니 게난,NA,오널?
10.57071344,11.52875227,0.958038825,mid,hyj,hyj,affirm,NA,오늘 죽연 이건 구저껜가 어느떼 물린거 요 요 요 이마빡에 요디 뽈고롱 허지 안헤시아 ㅎ.썰?,NA
11.622127,15.29302824,3.670901241,long,overlap,NA,NA,NA,오늘 죽연 이건 구저껜가 어느떼 물린거 요 요 요 이마빡에 요디 뽈고롱 허지 안헤시아 ㅎ.썰?,아니
15.79101872,16.02815705,0.237138323,short,hgs,NA,NA,야,NA,NA
17.56554331,18.85557579,1.290032477,mid,hgs,hgs,rhet_q,그 이름표 돌아서냐?,NA,NA
19.06900028,19.72,0.650999718,mid,hgs,hgs,statement,그날 오과렌.,NA,NA
20.9112967,22.63292092,1.721624225,long,overlap,NA,NA,그날 와땅 먹언 먹언 가렌 이름표 돌아서냐?,NA,NA
23.00759947,26.31193434,3.304334867,long,overlap,NA,NA,그날 와땅 먹언 먹언 가렌 이름표 돌아서냐?,"요자기 밤이 웽웽웽웽 헌디 둣날은 보난에,",NA
26.87158078,27.58151516,0.709934376,mid,hyj,hyj,statement,NA,이디 어제 보난 벌겅 잇입데다.,NA
27.66214219,29.47862174,1.816479555,long,overlap,NA,NA,그거는 막 먹엉 간 죽어불고 새로운 거주.,이디 어제 보난 벌겅 잇입데다.,NA
29.70627453,30.36077631,0.654501772,mid,hgs,hgs,opinion,그거는 막 먹엉 간 죽어불고 새로운 거주.,NA,NA
31.69179862,36.16422739,4.472428773,long,overlap,NA,NA,"게난 이름표 돌앙뎅기렌 헤어, 가이덜신이.",몰라 나 원 어떵헨에 모- 모기 얼루 들어왐ㅅ우꽈?,NA
36.34919528,38.64078865,2.291593373,long,overlap,NA,NA,"게난 이름표 돌앙뎅기렌 헤어, 가이덜신이.",어히그,겐디 삶은 어디서 살아?
39.04866657,40.9419748,1.893308227,long,overlap,NA,NA,"건 이, 아니 이디가,","몰라 어디서 구둘 안네 들어 와그네 기냥,",집 안니서 사는 건가?
40.9419748,42.20681259,1.264837791,mid,overlap,NA,NA,"건 이, 아니 이디가, 그래 여기가 어느 구석에 요런디.","몰라 어디서 구둘 안네 들어 와그네 기냥,",집 안니서 사는 건가?
42.20681259,44.1134047,1.906592117,long,hgs,hgs,statement,그래 여기가 어느 구석에 요런디.,NA,집 안니서 사는 건가?
44.2556877,44.77264924,0.516961544,short,hyj,hyj,completion,그래 여기가 어느 구석에 요런디.,붙엇당.,NA
44.9908165,45.31332462,0.322508119,short,hgs,hgs,statement,"이런 찻장 두에 가던가, 이 이런 거주.",NA,NA
45.39395165,46.78568551,1.391733864,long,hgs,hgs,statement,"이런 찻장 두에 가던가, 이 이런 거주.",NA,NA
46.90899744,47.88126456,0.972267125,mid,overlap,NA,NA,"이런 찻장 두에 가던가, 이 이런 거주.",막 ㅇ..ㄱ아.,NA
48.52248218,50.50970133,1.987219147,long,hyj,hyj,statement,NA,불 싸민 엇이국 불 끄민 나와그넹아 물레 돌아뎅기국.,NA
50.61404219,52.18389789,1.569855699,long,hyj,hyj,statement,NA,불 싸민 엇이국 불 끄민 나와그넹아 물레 돌아뎅기국.,NA
52.77399699,53.1676466,0.393649616,short,suk,suk,acknowledge,원래 모기가 경허는거주,NA,어...
53.1676466,54.24670109,1.079054484,mid,overlap,NA,NA,원래 모기가 경허는거주,참 모기만이 우리 사름이 모기거찌 ㅇ..ㄱ지 못헤어.,어...
54.24670109,56.45912653,2.21242544,long,hyj,hyj,opinion,원래 모기가 경허는거주,참 모기만이 우리 사름이 모기거찌 ㅇ..ㄱ지 못헤어.,NA
56.45912653,57.84401433,1.384887807,long,hyj,hyj,opinion,NA,참 모기만이 우리 사름이 모기거찌 ㅇ..ㄱ지 못헤어.,NA
58.10211978,58.79456368,0.692443903,mid,overlap,NA,NA,"게난,",NA,미와그넹에.
59.2166699,62.70481377,3.488143877,long,hgs,hgs,opinion,파리는 없어지기 시작헤도 모기는 없어지지 아녜는 거 같에.,NA,NA
62.81864017,63.83327048,1.014630312,mid,hyj,hyj,downplay,파리는 없어지기 시작헤도 모기는 없어지지 아녜는 거 같에.,"에이고 뭐 기냥, 겐디 저거야 어디서 생겨나그넹아 ㅇ..름엔 경 막 활달 헤엉 돌아 뎅기당 겨울은 되민 숨두 못 쉰덴 허는디,",NA
64.10835093,67.19114913,3.0827982,long,hyj,hyj,statement,NA,"에이고 뭐 기냥, 겐디 저거야 어디서 생겨나그넹아 ㅇ..름엔 경 막 활달 헤엉 돌아 뎅기당 겨울은 되민 숨두 못 쉰덴 허는디,",NA
67.72075115,69.02026916,1.29951801,mid,hyj,hyj,statement,NA,"에이고 뭐 기냥, 겐디 저거야 어디서 생겨나그넹아 ㅇ..름엔 경 막 활달 헤엉 돌아 뎅기당 겨울은 되민 숨두 못 쉰덴 허는디,",NA
69.02026916,70.93160404,1.911334884,long,hyj,hyj,statement,NA,"에이고 뭐 기냥, 겐디 저거야 어디서 생겨나그넹아 ㅇ..름엔 경 막 활달 헤엉 돌아 뎅기당 겨울은 되민 숨두 못 쉰덴 허는디,",NA
71.22565556,71.6996105,0.473954936,short,hyj,hyj,hedge,NA,"거 무시거 처- 무시거 처선가 거 무시거 넘으믄 입주뎅이 다 ㅌ.ㄹ아진덴 헙데다만은,",NA
71.770752,72.09326011,0.322508119,short,hyj,hyj,hedge,NA,"거 무시거 처- 무시거 처선가 거 무시거 넘으믄 입주뎅이 다 ㅌ.ㄹ아진덴 헙데다만은,",NA
72.09326011,75.72621922,3.632959109,long,hyj,hyj,statement,NA,"거 무시거 처- 무시거 처선가 거 무시거 넘으믄 입주뎅이 다 ㅌ.ㄹ아진덴 헙데다만은,",NA
76.06969446,76.33054662,0.260852155,short,hyj,hyj,other,NA,"아니 동지섣덜 되가도 기냥,",NA
76.33054662,76.7716239,0.441077281,short,hyj,hyj,statement,NA,"아니 동지섣덜 되가도 기냥,",NA
76.8143088,78.15651171,1.342202909,long,hyj,hyj,statement,NA,"아니 동지섣덜 되가도 기냥,",NA
78.59758899,80.59429367,1.99670468,long,overlap,NA,NA,NA,"입주뎅이두 안 ㅌ.ㄹ아져근에 경 물엉,",NA
81.77839745,82.46135582,0.68295837,mid,hyj,hyj,apprec,NA,첨말로...,NA
83.63281914,84.83748182,1.204662681,mid,hgs,hgs,statement,에꼬짱 피가 좋으난에.,NA,NA
85.56396226,87.51798204,1.954019782,long,hyj,hyj,statement,NA,"완전 튿먹엉 경헤이, 나두 경 모기 잘 탄다게.",NA
87.51798204,89.19196413,1.673982087,long,overlap,NA,NA,NA,"완전 튿먹엉 경헤이, 나두 경 모기 잘 탄다게.",NA
89.27259116,89.78006717,0.507476011,short,suk,suk,backchannel_q,NA,응.,아 기꽈?
89.78006717,90.24011552,0.460048347,short,hyj,NA,NA,NA,응.,아 기꽈?
92.26738009,94.33522626,2.067846177,long,overlap,NA,NA,NA,모기 이섰다 허민이 누엉 자지 못헤어.,NA
94.61979225,95.31223616,0.692443903,mid,suk,suk,apprec,NA,NA,그 나이에.
97.04280947,97.81113764,0.768328167,mid,hyj,hyj,opinion,NA,늙은 깍죽 무시거 튿어 먹을 거 잇인 거랑 경 돌아졍 튿어먹젠사 헴ㅅ인디 몰라.,NA
97.86805083,101.1405597,3.272508858,long,hyj,hyj,rhet_q,NA,늙은 깍죽 무시거 튿어 먹을 거 잇인 거랑 경 돌아졍 튿어먹젠사 헴ㅅ인디 몰라.,NA
102.2439292,103.3916787,1.147749484,mid,suk,suk,yn_q,NA,NA,거또 칭찬 아니꽈?
103.9465824,104.6911967,0.744614334,mid,hyj,hyj,repeat_q,NA,칭찬?!,NA
106.0760845,107.2949755,1.218890981,mid,suk,suk,answer,NA,흐 헤 헤.,무시거 튿어먹을 게 이- 잇젠.
107.7190778,108.2312965,0.512218778,short,suk,suk,answer,NA,NA,무시거 튿어먹을 게 이- 잇젠.
108.3878078,110.4319402,2.044132345,long,hyj,hyj,agree,NA,그러게 쭈- 이제 기냥 다 늙은 사름.,남아잇젠 허는 소리 아니꽈.
