participant,TOEIC,language,type,desc::source,desc::ListNumber,desc::SentenceNumber,desc::sentence,desc::NumberOfContentWords,desc::noise,condition,audio_url,score,PercepTest
1,500,japanese,sentence,SpeechBoxHINTList,1,1,朝ご飯を食べて元気に出かけた,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_1_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,3,音楽に合わせて楽しく踊る,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_3_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,5,歯磨きを忘れると虫歯になる,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_5_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,6,やっと町の明かりが見えてきた,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_6_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,9,窓からぼんやり景色を眺めた,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_9_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,15,お母さんが作るご飯はおいしい,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_15_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,18,子供が悪戯して酷く怒られた,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_18_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,20,汚れた洋服を洗濯しました,3,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_20_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,21,手紙をもらって返事を書いた,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_21_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,26,おじいちゃんは昔から厳しい人だ,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_26_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,27,苦い薬は今でも嫌いです,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_27_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,29,新しいおもちゃを見せて自慢する,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_29_0db.wav,99,yes
1,500,japanese,sentence,SpeechBoxHINTList,1,30,突然話題が途切れて困った,4,yes,SNR0dB,https://www.francescocangemi.com/nem/J_HT1_30_0db.wav,75,yes
